keyword,content,sentiment_score,sentiment,source,date
S&P 500,Home,0.0,neutral,linkedin,2025-04-09
S&P 500,My Network,0.0,neutral,linkedin,2025-04-09
S&P 500,Jobs,0.0,neutral,linkedin,2025-04-09
S&P 500,Messaging,0.0,neutral,linkedin,2025-04-09
S&P 500,Notifications,0.0,neutral,linkedin,2025-04-09
S&P 500,"For surely America was born in one of the blackest pits of all History. black as the pit from pole to pole, a pathetic collection of people with one common goal: Freedom from Tyranny. A battle we would most assuredly loose, a sweet savor that could never be attained by such a poor collection of people, a battle that by all accounts they could never win, a battle that should kill everyone of them, except, for one thing... a singular determination to be free, to die rather than be chained to the captivity of tyrants",-0.05396270396270395,negative,linkedin,2025-04-09
S&P 500,"Get ready to bring out your best and unleash the full potential of your business!
Join us to explore SAP’s bold new vision for enterprise management that combines AI, data, and applications like never before to unleash the full potential of your business.",0.2962121212121212,positive,linkedin,2025-04-09
S&P 500,"Let us make our families, our home, our city, our nation, our contry, our World, great again! Let us bring the best of us, the best of our inner hearts, our inner souls, of our parents, grandparents, ours ancestors, our loved ones and make our World more sustainable, equitable, balanced, more humain, more fair, peaceful, loving, caring, thoughtful, meaningfull! How hard, how impossible can that be? To God, to Love, there is no impossible! Love is the key,the solution, to everything, even to death itself! But death is not the end is just a passing through to another level, to another sphere! But who can explain that? You can't, I can't! Only God knows!",0.4307839912280701,positive,linkedin,2025-04-09
S&P 500,"have the smile text me , this needs to move forward, forget about currency , she is angry",-0.1,negative,linkedin,2025-04-09
S&P 500,Bi annual harassment because SAD Kidney and phat play dos,-0.5,negative,linkedin,2025-04-09
S&P 500,"Lack of straight n direct communication is be it n end of it all beating around bushes is not my play 
hashtag
#Period I called u again did not pick up simple",0.10000000000000002,positive,linkedin,2025-04-09
S&P 500,"In a time where everybody is screaming, I prefer to whisper the essence of technology, science, innovation and emotions. HSA Cosmetics S.p.A. : the power of uniqueness",0.0,neutral,linkedin,2025-04-09
S&P 500,"she's like my two key verification code two key 

Will Ames fornifi cation bro",0.0,neutral,linkedin,2025-04-09
S&P 500,"المفارقة الذكية في العامية المصرية
هناك تركيب نحوي بسيط، لكنه يحمل مفارقة قوية بين الخوف والحياء في المثل الشعبي ""فلان يخاف ميختشيش""، حيث نرى ذكاء الأسلوب الساخر في التعبير عن النقد الاجتماعي بسلاسة وخفة دم 😃
ويفترض أن من يخاف من العواقب يجب أن يكون لديه حياء، لكن في هذا السياق، الشخص يخاف من العقاب فقط، وليس من فعل الخطأ نفسه.

والمفارقة (Antithesis) هي الجمع بين مفهومين متضادين (الخوف والحياء هنا) لإبراز التناقض بينهما.",0.0,neutral,linkedin,2025-04-09
S&P 500,"psychopathic tendencies in the medical military complex

a NUDGE resurfaced re: the son of sam killer

bear with me...

adam is pounding away upstairs and i have nowhere to go

pressure is building....",-0.13333333333333333,negative,linkedin,2025-04-09
S&P 500,"To halt is easy, to run is tough.

To close eyes is easy, to keep awake is tough.

To seek Condemnation is easy, to seek Salvation is tough.

To bid farewell is easy, to greet is tough.

To be silent is easy, to speak is tough.

To be convict is easy, to vindicate is tough.

To say “enough no more” is easy, to say “yes keep going” is tough.

Darkness is easy, brightness is tough.

Sail through the tide, when the journey is rough,

For I shall touch the shore, before I close my eyes.",0.00027777777777778374,positive,linkedin,2025-04-09
S&P 500,"Everything in its own time. At times I feel so burdened by expectations, my own self-image, sometimes I feel I'm important and sometimes I feel like I mean nothing to anyone. Feels aren't facts but ignore them for too long and you find yourself in different prison.

There is a time for everything,
and a season for every activity under the heavens:

2 a time to be born and a time to die,
a time to plant and a time to uproot,
3 a time to kill and a time to heal,
a time to tear down and a time to build,
4 a time to weep and a time to laugh,
a time to mourn and a time to dance,
5 a time to scatter stones and a time to gather them,
a time to embrace and a time to refrain from embracing,
6 a time to search and a time to give up,
a time to keep and a time to throw away,
7 a time to tear and a time to mend,
a time to be silent and a time to speak,
8 a time to love and a time to hate,
a time for war and a time for peace.


15 Whatever is has already been,
and what will be has been before;I",0.09835858585858585,positive,linkedin,2025-04-09
S&P 500,"نامه ای به خودم:
میدونم بعضی روزا حالت خوب نیست..
میدونم آرزو و رویا های زیادی داری..
میدونم هدفات بزرگن..
میدونم شده شبای زیادی از فکر خوابت نبره..
میدونم با اینکه خیلی غصه و درد داری ولی هنوز سعی میکنی لبخند رو لبات باشه..
میدونم خیلی جاها بهت حرفایی زدن که نباید میشنیدی..
خیلی جاها از آشنا و غریبه ضربه خوردی..
خیلی جاها رهات کردن..
خیلی جاها تنهات گذاشتن..
ولی تو هیچوقت عوض نشدی!
همیشه سعی کردی برای خواسته هات بجنگی!
برای هدفت تلاش کنی!
مرسی که تسلیم نشدی مَن.
A letter to myself:
I know you don't feel well some days..
I know you have many hopes and dreams..
I know your goals are big..
I know you've had many sleepless nights thinking about it..
I know that even though you're in a lot of pain and sorrow, you still try to keep a smile on your face..
I know that you've been told things you shouldn't have heard in many places..
You've been hurt in many places by acquaintances and strangers..
You've been abandoned in many places..
You've been left alone in many places..
But you've never changed!
You've always tried to fight for what you want!
You've worked hard for your goal!
Thank you for not giving up on me.",0.32166666666666666,positive,linkedin,2025-04-09
S&P 500,"SOME
SAY THAT
LIFE
IS
A
BITCH
I
SAY
SHE
MIGHT
B
2
U
ALL
BECAUSE
U
DON'T KNOW HOW
2
FUCK
HER
RIGHT. 🤔
LMAO 🤣🤣🤣
@MIKEMULTI
@MULTICLOTHINGBR",0.16190476190476188,positive,linkedin,2025-04-09
S&P 500,"Just a laugh : he , he , he , haw.

A crab at sea, getting the sun and reflections of the day: the pesky humans have gone, peace at last!",0.15,positive,linkedin,2025-04-09
NASDAQ,Home,0.0,neutral,linkedin,2025-04-09
NASDAQ,My Network,0.0,neutral,linkedin,2025-04-09
NASDAQ,Jobs,0.0,neutral,linkedin,2025-04-09
NASDAQ,Messaging,0.0,neutral,linkedin,2025-04-09
NASDAQ,Notifications,0.0,neutral,linkedin,2025-04-09
NASDAQ,"🚨 Startups, VCs, and the Tariff Tension: What Now? 🚨

President Trump’s newly reimposed tariffs are shaking markets, prompting a deeper question: What does this mean for startups and venture capital?

📉 The Bad News:

Nasdaq is rattled — with tech giants likeanddropping double digits.

andpostponed IPOs due to valuation pressure and uncertainty.

VCs are jittery.'warned of a funding slowdown: “No exits = no returns = no new funds.”

📈 The (Possible) Silver Lining:

Some sectors — like
— are seeing more investor attention.is reportedly raising a $20B megafund focused on U.S. growth-stage AI.

Multinational giants like,, andhave committed to pouring hundreds of billions of dollars into U.S.-based fabs and advanced manufacturing, potentially creating downstream opportunities for startups in
,
,
, and
.

Tariff-induced instability might spur innovation, local
, and startup diversification — long-term positives for resilient founders.

💬 But here’s the real question: Are these tariffs a bargaining chip? Will we see them lifted or selectively reduced as leverage in future negotiations — especially with key allies and trade partners? Could this be temporary noise, or the start of a prolonged recalibration of the global startup landscape?",0.0019176136363636513,positive,linkedin,2025-04-09
NASDAQ,"W!se had the incredible honor of ringing the Opening Bell at Nasdaq today! 🔔

As part of our celebration of Financial Literacy Month, this moment shines a spotlight on the importance of equipping young people with the knowledge and skills to build a strong financial future. 💸📚

Thank you to our amazing board, team, partners, teachers, volunteers, and supporters for helping us champion financial literacy in schools across the country. Together, we're making financial education a national priority!





Thank you Nasdaq, Inc./ Vanja Savic!",0.23703703703703707,positive,linkedin,2025-04-09
NASDAQ,"When leadership signals shift, markets react fast.

Over just a few weeks, the Nasdaq 100 — an index tracking the largest non-financial companies on the Nasdaq stock exchange, including tech giants like,, and— fell into bear market territory (a 20%+ drop from recent highs).

Key events that triggered the slide:

Jamie Dimon sold $234M ofstock

Warren Buffett built up a $334B cash position

Trump said he’s “not watching the market”

The U.S. announced 25% auto tariffs and “reciprocal” trade measures

These aren't just headlines—they’re signals. When major players shift capital and tone, market sentiment can turn sharply.

The Nasdaq isn't just tech—it's a proxy for confidence in innovation and growth. And this chart shows how quickly that confidence can waver.",0.038690476190476185,positive,linkedin,2025-04-09
NASDAQ,"Inter&Co (Nasdaq: INTR) is Inter, a global brand that serves millions of customers worldwide with innovative and empowering financial products. Follow us here on Linkedin, and on our very own social media Forum as @ inter for all our news and updates.",0.2626666666666667,positive,linkedin,2025-04-09
NASDAQ,"The NASDAQ 100 $QQQ just had a 7.5% intra day swing from up 4.3% to down 3.3% 
hashtag
#fromgreentored 
hashtag
#tarriff 
hashtag
#qqq 
hashtag
#swing 
hashtag
#newnormal 
hashtag
#finance 

source : evan",-0.15555555555555559,negative,linkedin,2025-04-09
NASDAQ,Welcoming Microsoft to the Nasdaq Opening Bell.,0.0,neutral,linkedin,2025-04-09
