keyword,content,sentiment_score,sentiment,source,date
S&P 500,Home,0.0,neutral,linkedin,2025-04-10
S&P 500,My Network,0.0,neutral,linkedin,2025-04-10
S&P 500,Jobs,0.0,neutral,linkedin,2025-04-10
S&P 500,Messaging,0.0,neutral,linkedin,2025-04-10
S&P 500,Notifications,0.0,neutral,linkedin,2025-04-10
S&P 500,"For surely America was born in one of the blackest pits of all History. black as the pit from pole to pole, a pathetic collection of people with one common goal: Freedom from Tyranny. A battle we would most assuredly loose, a sweet savor that could never be attained by such a poor collection of people, a battle that by all accounts they could never win, a battle that should kill everyone of them, except, for one thing... a singular determination to be free, to die rather than be chained to the captivity of tyrants",-0.05396270396270395,negative,linkedin,2025-04-10
S&P 500,"Let us make our families, our home, our city, our nation, our contry, our World, great again! Let us bring the best of us, the best of our inner hearts, our inner souls, of our parents, grandparents, ours ancestors, our loved ones and make our World more sustainable, equitable, balanced, more humain, more fair, peaceful, loving, caring, thoughtful, meaningfull! How hard, how impossible can that be? To God, to Love, there is no impossible! Love is the key,the solution, to everything, even to death itself! But death is not the end is just a passing through to another level, to another sphere! But who can explain that? You can't, I can't! Only God knows!",0.4307839912280701,positive,linkedin,2025-04-10
S&P 500,"have the smile text me , this needs to move forward, forget about currency , she is angry",-0.1,negative,linkedin,2025-04-10
S&P 500,Bi annual harassment because SAD Kidney and phat play dos,-0.5,negative,linkedin,2025-04-10
S&P 500,"In a time where everybody is screaming, I prefer to whisper the essence of technology, science, innovation and emotions. HSA Cosmetics S.p.A. : the power of uniqueness",0.0,neutral,linkedin,2025-04-10
S&P 500,"she's like my two key verification code two key 

Will Ames fornifi cation bro",0.0,neutral,linkedin,2025-04-10
S&P 500,"المفارقة الذكية في العامية المصرية
هناك تركيب نحوي بسيط، لكنه يحمل مفارقة قوية بين الخوف والحياء في المثل الشعبي ""فلان يخاف ميختشيش""، حيث نرى ذكاء الأسلوب الساخر في التعبير عن النقد الاجتماعي بسلاسة وخفة دم 😃
ويفترض أن من يخاف من العواقب يجب أن يكون لديه حياء، لكن في هذا السياق، الشخص يخاف من العقاب فقط، وليس من فعل الخطأ نفسه.

والمفارقة (Antithesis) هي الجمع بين مفهومين متضادين (الخوف والحياء هنا) لإبراز التناقض بينهما.",0.0,neutral,linkedin,2025-04-10
S&P 500,"To halt is easy, to run is tough.

To close eyes is easy, to keep awake is tough.

To seek Condemnation is easy, to seek Salvation is tough.

To bid farewell is easy, to greet is tough.

To be silent is easy, to speak is tough.

To be convict is easy, to vindicate is tough.

To say “enough no more” is easy, to say “yes keep going” is tough.

Darkness is easy, brightness is tough.

Sail through the tide, when the journey is rough,

For I shall touch the shore, before I close my eyes.",0.00027777777777778374,positive,linkedin,2025-04-10
S&P 500,"Everything in its own time. At times I feel so burdened by expectations, my own self-image, sometimes I feel I'm important and sometimes I feel like I mean nothing to anyone. Feels aren't facts but ignore them for too long and you find yourself in different prison.

There is a time for everything,
and a season for every activity under the heavens:

2 a time to be born and a time to die,
a time to plant and a time to uproot,
3 a time to kill and a time to heal,
a time to tear down and a time to build,
4 a time to weep and a time to laugh,
a time to mourn and a time to dance,
5 a time to scatter stones and a time to gather them,
a time to embrace and a time to refrain from embracing,
6 a time to search and a time to give up,
a time to keep and a time to throw away,
7 a time to tear and a time to mend,
a time to be silent and a time to speak,
8 a time to love and a time to hate,
a time for war and a time for peace.


15 Whatever is has already been,
and what will be has been before;I",0.09835858585858585,positive,linkedin,2025-04-10
S&P 500,"SOME
SAY THAT
LIFE
IS
A
BITCH
I
SAY
SHE
MIGHT
B
2
U
ALL
BECAUSE
U
DON'T KNOW HOW
2
FUCK
HER
RIGHT. 🤔
LMAO 🤣🤣🤣
@MIKEMULTI
@MULTICLOTHINGBR",0.16190476190476188,positive,linkedin,2025-04-10
S&P 500,"نامه ای به خودم:
میدونم بعضی روزا حالت خوب نیست..
میدونم آرزو و رویا های زیادی داری..
میدونم هدفات بزرگن..
میدونم شده شبای زیادی از فکر خوابت نبره..
میدونم با اینکه خیلی غصه و درد داری ولی هنوز سعی میکنی لبخند رو لبات باشه..
میدونم خیلی جاها بهت حرفایی زدن که نباید میشنیدی..
خیلی جاها از آشنا و غریبه ضربه خوردی..
خیلی جاها رهات کردن..
خیلی جاها تنهات گذاشتن..
ولی تو هیچوقت عوض نشدی!
همیشه سعی کردی برای خواسته هات بجنگی!
برای هدفت تلاش کنی!
مرسی که تسلیم نشدی مَن.
A letter to myself:
I know you don't feel well some days..
I know you have many hopes and dreams..
I know your goals are big..
I know you've had many sleepless nights thinking about it..
I know that even though you're in a lot of pain and sorrow, you still try to keep a smile on your face..
I know that you've been told things you shouldn't have heard in many places..
You've been hurt in many places by acquaintances and strangers..
You've been abandoned in many places..
You've been left alone in many places..
But you've never changed!
You've always tried to fight for what you want!
You've worked hard for your goal!
Thank you for not giving up on me.",0.32166666666666666,positive,linkedin,2025-04-10
S&P 500,"psychopathic tendencies in the medical military complex

a NUDGE resurfaced re: the son of sam killer

bear with me...

adam is pounding away upstairs and i have nowhere to go

pressure is building....",-0.13333333333333333,negative,linkedin,2025-04-10
S&P 500,"***פוסט פירגון***
אתמול נערכה באקספו תל אביב הוועידה השנתית של תוכנית ""ניצנים"" מבית עמותת ""בנתיבי אודי"" – ""ועידת דור העתיד לטכנולוגיה"". במסגרת הוועידה התקיים האקתון הגדול בישראל בהשתתפות כ-1,000 בני נוער מצטיינים מהעוטף, הנגב והצפון, המשתתפים בתכנית המצוינות ""ניצנים"". במהלך האקתון פיתחו המשתתפים מיזמים טכנולוגיים חדשניים שנועדו לתת מענה לפצועים בגוף ובנפש בעקבות מלחמת חרבות ברזל.
הוועידה והאקתון התמקדו בשיח על עתיד הטכנולוגיה, הבינה המלאכותית (AI), תחום ההגנה והביטחון, והחשיבות של הכשרת הדור הצעיר מהפריפריה, במיוחד מהנגב והגליל, עבור צה""ל והתעשיות הביטחוניות והאזרחיות. האירוע כלל פאנלים עם בכירים בתעשייה הביטחונית וההייטק, לצד תצוגות חדשנות של כ-1,000 יזמים צעירים מהתכנית המובילים פרויקטים טכנולוגיים במסגרת האקתון השנתי של התכנית.
הוועידה מהווה את יריית הפתיחה לתוכנית החומש ""ניצנים 2030"" שהוצגה בוועידה – מיזם לאומי שמטרתו לממש את הפוטנציאל האדיר של בני ובנות נוער וצעירים מהנגב והגליל בתחום החינוך הטכנולוגי, כחלק מהכנה לשירות משמעותי בצה""ל ולאחר מכן השתלבות בתעשיית ההייטק. במסגרת תכנית ""ניצנים 2030""- שילוש מספר התלמידים בתכנית, והרחבת התכנים הנלמדים ע""י התלמידים במסגרת התמחויות ייעודיות לעולמות ה- Machine Learning, הסייבר, היזמות, וה-Deep Tech.
מדובר באירוע שיא, המשתתפים(נוער ניצנים) יובילו את החזית הטכנולוגית במדינת ישראל בשנים הקרובות, אני נפעם מהעוצמה והעשייה המטורפת של עמותת ""בנתיבי אודי"" החברה הישראלית זכתה באנשים יקרים שעוסקים יום ביומו בהכשרת דור העתיד למצויינות וערכים🦾🙏👨🏽‍💻👩‍💻👨‍💻גאה שאראל בני בכורי לקח חלק בהאקתון והינו חלק ממשפחת ""ניצנים""❤️
,,,,",0.0,neutral,linkedin,2025-04-10
S&P 500,"Just a laugh : he , he , he , haw.

A crab at sea, getting the sun and reflections of the day: the pesky humans have gone, peace at last!",0.15,positive,linkedin,2025-04-10
S&P 500,"where is our information and weather is human being controlled
you have no privacy every move you make is human being watched
is it under once they are in power they will push people like me out and down and out and never tell the real astoria and there are so many behind ready to step into place human disgrancelands
liars bullies let other people do their dirty work and they remain protected
stand up to the machine you will get b--lack and b--locked out house never work again
all your stocks will not go up up and away
stab you in the back lie to your face make fun of you
look ma no teeth
no real friends
everyone will turn agains you
so many horrible movies that you see you are the big butt of the joke
try to help and you are an octagoner won't be seeing you next fall a make it look like an accidental
look no teeth hunting towns and states and nations
when it is slaughter rhymes with daughters house
they party eat big me-at while others have nothin
destroy records
control the astoria
# NationalSiblingsDay horrible in laws and cousins years
# DebtAwarenessWeek
nobody cares days nobody helps days nobody stops their evil days
where is defamation day
years of false accusations
is it under they were never my friends
or traitors or spies or
U$e
or is it take it out on the innocent creatures people and natural resources.
ADD attention deficit disorder
or Alcoholics Anonymous treat and tom williams
or insurance Calvin dekleined tuthill bystanders mob on
or alzheimer's wow I can't believe I can spell MAGA that
or fraud or whistleblower's not ann-o-ny-mous
every attempt to escape will fail move and only evil follows you lie to your face
the theft by death mafia no silver lining no kicking the cancer and the make it look like an accidental stroke of bad luck...choke that chicken ranch cabin dres-sin-g",-0.17935185185185185,negative,linkedin,2025-04-10
NASDAQ,Home,0.0,neutral,linkedin,2025-04-10
NASDAQ,My Network,0.0,neutral,linkedin,2025-04-10
NASDAQ,Jobs,0.0,neutral,linkedin,2025-04-10
