ticker,title,description,url,publishedAt,sentiment_score,sentiment
AAPL,"If the U.S. Avoids a Recession, the Mag 7 Will Win Big—and How to Trade While Waiting for Confirmati (Serhii Bondarenko)","Wall Street analysts expect the “Magnificent Seven” tech giants—Apple, Microsoft, Alphabet, Amazon, ...",https://www.finextra.com/blogposting/28366/if-the-us-avoids-a-recession-the-mag-7-will-win-bigand-how-to-trade-while-waiting-for-confirmati,2025-04-29T09:46:08Z,0.9,positive
AAPL,U.S Department of Justice Seeks to Cut Alphabet (GOOGL) Stock Down to Size,"There may be trouble ahead for Alphabet Inc. (GOOGL) stock. The long-standing tech giant, which dominates the global search market, is up against the U.S...",https://finance.yahoo.com/news/u-department-justice-seeks-cut-094214799.html,2025-04-29T09:42:14Z,-0.0888888888888889,neutral
AAPL,Investors Asset Management of Georgia Inc. GA ADV Sells 302 Shares of Apple Inc. (NASDAQ:AAPL),"Investors Asset Management of Georgia Inc. GA ADV decreased its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 1.8% in the 4th quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The instit…",https://www.etfdailynews.com/2025/04/29/investors-asset-management-of-georgia-inc-ga-adv-sells-302-shares-of-apple-inc-nasdaqaapl/,2025-04-29T07:02:53Z,0.08,neutral
AAPL,Apple (NASDAQ:AAPL) Price Target Raised to $235.00,"Apple (NASDAQ:AAPL – Free Report) had its price target upped by Morgan Stanley from $220.00 to $235.00 in a report published on Monday, Marketbeat Ratings reports. The brokerage currently has an overweight rating on the iPhone maker’s stock. A number of other…",https://www.etfdailynews.com/2025/04/29/apple-nasdaqaapl-price-target-raised-to-235-00/,2025-04-29T07:02:52Z,0.2,positive
AAPL,Apple Inc. (NASDAQ:AAPL) Stock Holdings Lifted by Trinity Legacy Partners LLC,"Trinity Legacy Partners LLC lifted its stake in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 1.9% during the 4th quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The fund owned 43,843 shares of …",https://www.etfdailynews.com/2025/04/29/apple-inc-nasdaqaapl-stock-holdings-lifted-by-trinity-legacy-partners-llc/,2025-04-29T07:02:52Z,0.3,positive
AAPL,Nicholson Wealth Management Group LLC Has $2.49 Million Stock Holdings in Apple Inc. (NASDAQ:AAPL),"Nicholson Wealth Management Group LLC increased its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 16.0% in the 4th quarter, Holdings Channel.com reports. The institutional investor owned 9,959 shares of the iPhone maker’s stock after buying …",https://www.etfdailynews.com/2025/04/29/nicholson-wealth-management-group-llc-has-2-49-million-stock-holdings-in-apple-inc-nasdaqaapl/,2025-04-29T07:02:52Z,0.4,positive
AAPL,Cassaday & Co Wealth Management LLC Has $47.48 Million Holdings in Apple Inc. (NASDAQ:AAPL),"Cassaday & Co Wealth Management LLC lessened its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.2% during the 4th quarter, Holdings Channel.com reports. The firm owned 189,611 shares of the iPhone maker’s stock after selling 424 shares duri…",https://www.etfdailynews.com/2025/04/29/cassaday-co-wealth-management-llc-has-47-48-million-holdings-in-apple-inc-nasdaqaapl/,2025-04-29T07:02:51Z,0.1,neutral
AAPL,One Day In July LLC Reduces Stake in Apple Inc. (NASDAQ:AAPL),"One Day In July LLC reduced its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 2.8% during the fourth quarter, HoldingsChannel.com reports. The institutional investor owned 41,618 shares of the iPhone maker’s stock after selling 1,188 shares during the…",https://www.etfdailynews.com/2025/04/29/one-day-in-july-llc-reduces-stake-in-apple-inc-nasdaqaapl/,2025-04-29T07:02:50Z,0.2,positive
AAPL,Apple Inc. (NASDAQ:AAPL) is JLB & Associates Inc.’s Largest Position,"JLB & Associates Inc. decreased its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 2.6% in the fourth quarter, according to its most recent 13F filing with the SEC. The institutional investor owned 168,253 shares of the iPhone maker’s stock after selli…",https://www.etfdailynews.com/2025/04/29/apple-inc-nasdaqaapl-is-jlb-associates-inc-s-largest-position/,2025-04-29T07:02:50Z,0.06666666666666667,neutral
AAPL,Apple Inc. (NASDAQ:AAPL) is Legacy Capital Group California Inc.’s Largest Position,"Legacy Capital Group California Inc. trimmed its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.8% in the 4th quarter, according to its most recent disclosure with the SEC. The fund owned 127,565 shares of the iPhone maker’s stock after sel…",https://www.etfdailynews.com/2025/04/29/apple-inc-nasdaqaapl-is-legacy-capital-group-california-inc-s-largest-position/,2025-04-29T07:02:50Z,0.2,positive
